2021-01-29 08:51:40 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2021-01-29 08:51:40 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2021-01-29 08:51:40 install libpam0g:armhf <none> 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:40 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:40 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:40 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:40 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2021-01-29 08:51:40 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2021-01-29 08:51:41 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2021-01-29 08:51:41 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2021-01-29 08:51:41 upgrade perl-base:armhf 5.20.2-3+deb8u11 5.20.2-3+deb8u11
2021-01-29 08:51:41 status half-configured perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:41 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:41 status half-installed perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:42 status half-installed perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:42 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:42 status unpacked perl-base:armhf 5.20.2-3+deb8u11
2021-01-29 08:51:42 install libprocps3:armhf <none> 2:3.3.9-9+deb8u1
2021-01-29 08:51:42 status half-installed libprocps3:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:42 status unpacked libprocps3:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:42 status unpacked libprocps3:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:42 install procps:armhf <none> 2:3.3.9-9+deb8u1
2021-01-29 08:51:42 status half-installed procps:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:43 status unpacked procps:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:43 status unpacked procps:armhf 2:3.3.9-9+deb8u1
2021-01-29 08:51:43 install sed:armhf <none> 4.2.2-4+deb8u1
2021-01-29 08:51:43 status half-installed sed:armhf 4.2.2-4+deb8u1
2021-01-29 08:51:43 status unpacked sed:armhf 4.2.2-4+deb8u1
2021-01-29 08:51:43 status unpacked sed:armhf 4.2.2-4+deb8u1
2021-01-29 08:51:44 install sensible-utils:all <none> 0.0.9+deb8u1
2021-01-29 08:51:44 status half-installed sensible-utils:all 0.0.9+deb8u1
